/var/log/auth.log:Mar  6 18:17:02 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:17:02 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:18:21 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:18:21 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:18:45 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:18:45 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:19:51 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:19:51 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:20:01 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:20:01 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:20:09 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:20:09 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
